id,text
PriorityArea.java,"package edu.nd.dronology.services.core.items;

public class PriorityArea extends MappedItem {

	/**
	 * 
	 */
	private static final long serialVersionUID = -1072606981502113567L;

	public PriorityArea(String id) {
		super(id);
	}

}
"
UAVEquipmentTypeRegistrationServiceRemoteFacade.java,"package edu.nd.dronology.services.facades;

import java.rmi.RemoteException;

import java.util.Collection;

import org.apache.commons.lang.NotImplementedException;

import edu.nd.dronology.services.core.info.UAVEquipmentTypeRegistrationInfo;
import edu.nd.dronology.services.core.listener.IItemChangeListener;
import edu.nd.dronology.services.core.remote.IUAVEquipmentTypeRegistrationRemoteService;
import edu.nd.dronology.services.core.util.DronologyServiceException;
import edu.nd.dronology.services.instances.registration.equipment.UAVEquipmentTypeRegistrationService;
import edu.nd.dronology.services.remote.AbstractRemoteFacade;
import net.mv.logging.ILogger;
import net.mv.logging.LoggerProvider;

public class UAVEquipmentTypeRegistrationServiceRemoteFacade extends AbstractRemoteFacade implements IUAVEquipmentTypeRegistrationRemoteService {
	/**
	 * 
	 */
	private static final long serialVersionUID = -4580658378477037955L;
	private static final ILogger LOGGER = LoggerProvider.getLogger(UAVEquipmentTypeRegistrationServiceRemoteFacade.class);
	private static volatile UAVEquipmentTypeRegistrationServiceRemoteFacade INSTANCE;

	protected UAVEquipmentTypeRegistrationServiceRemoteFacade() throws RemoteException {
		super(UAVEquipmentTypeRegistrationService.getInstance());
	}

	public static IUAVEquipmentTypeRegistrationRemoteService getInstance() throws RemoteException {
		if (INSTANCE == null) {
			try {
				synchronized (UAVEquipmentTypeRegistrationServiceRemoteFacade.class) {
					if (INSTANCE == null) {
						INSTANCE = new UAVEquipmentTypeRegistrationServiceRemoteFacade();
					}
				}
			} catch (RemoteException e) {
				LOGGER.error(e);
			}
		}
		return INSTANCE;
	}

	@Override
	public byte[] requestFromServer(String id) throws RemoteException, DronologyServiceException {
		return UAVEquipmentTypeRegistrationService.getInstance().requestFromServer(id);
	}

	@Override
	public void transmitToServer(String id, byte[] content) throws RemoteException, DronologyServiceException {
		UAVEquipmentTypeRegistrationService.getInstance().transmitToServer(id, content);

	}

	@Override
	public boolean addItemChangeListener(IItemChangeListener listener) throws RemoteException {
		throw new NotImplementedException();
	}

	@Override
	public boolean removeItemChangeListener(IItemChangeListener listener) throws RemoteException {
		throw new NotImplementedException();
	}

	@Override
	public Collection<UAVEquipmentTypeRegistrationInfo> getItems() throws RemoteException {
		return UAVEquipmentTypeRegistrationService.getInstance().getItems();
	}

	@Override
	public UAVEquipmentTypeRegistrationInfo createItem() throws RemoteException, DronologyServiceException {
		return UAVEquipmentTypeRegistrationService.getInstance().createItem();
	}

	@Override
	public void deleteItem(String itemid) throws RemoteException, DronologyServiceException {
		// TODO Auto-generated method stub
		throw new NotImplementedException();
	}



}"
IFileTransmitRemoteService.java,"package edu.nd.dronology.services.core.remote;

import java.rmi.RemoteException;
import java.util.Collection;

import edu.nd.dronology.services.core.api.IRemotable;
import edu.nd.dronology.services.core.info.UAVTypeRegistrationInfo;
import edu.nd.dronology.services.core.listener.IItemChangeListener;
import edu.nd.dronology.services.core.util.DronologyServiceException;

public interface IFileTransmitRemoteService<ITEM_TYPE> extends IRemotable {

	byte[] requestFromServer(String id) throws RemoteException, DronologyServiceException;

	void transmitToServer(String id, byte[] content) throws RemoteException, DronologyServiceException;

	public boolean addItemChangeListener(IItemChangeListener listener) throws RemoteException;

	public boolean removeItemChangeListener(IItemChangeListener listener) throws RemoteException;

	
	Collection<ITEM_TYPE> getItems() throws RemoteException;

	ITEM_TYPE createItem() throws RemoteException, DronologyServiceException;

	void deleteItem(String itemid) throws RemoteException, DronologyServiceException;
}
"
FullMissionPlan.java,"package edu.nd.dronology.services.extensions.missionplanning.v1;

import java.io.IOException;
import java.util.HashMap;
import java.util.Map;
import java.util.Map.Entry;

import org.json.JSONException;

import edu.nd.dronology.core.DronologyConstants;
import edu.nd.dronology.core.coordinate.LlaCoordinate;
import edu.nd.dronology.core.vehicle.IUAVProxy;
import edu.nd.dronology.services.core.util.DronologyServiceException;
import edu.nd.dronology.services.extensions.missionplanning.MissionExecutionException;
import edu.nd.dronology.services.extensions.missionplanning.plan.IExecuteableMissionPlan;
import edu.nd.dronology.services.extensions.missionplanning.plan.MissionUtil;
import edu.nd.dronology.services.extensions.missionplanning.plan.UAVMissionPlan;
import edu.nd.dronology.services.extensions.missionplanning.sync.SynchronizationManager;
import edu.nd.dronology.services.extensions.missionplanning.tasks.TaskFactory;
import edu.nd.dronology.services.instances.dronesetup.DroneSetupService;
import net.mv.logging.ILogger;
import net.mv.logging.LoggerProvider;

/**
 * 
 * Manages a mission plan. Each Mission plan has one <code>FullMissionPlan</code> instance, and one <code>UAVMissionPlan</code> instance for each UAV in the Mission plan. <br>
 * Each of the UAV's individual mission plans are composed of MissionTasks. <br>
 * Once the entire mission plan is loaded, a thread is created which checks each of the individual UAVMissionPlans to determine if they can start the next task.
 * 
 *@author Jane Cleland-Huang
 */
@Deprecated
public class FullMissionPlan implements IExecuteableMissionPlan {

	private static final ILogger LOGGER = LoggerProvider.getLogger(FullMissionPlan.class);

	private Map<String, UAVMissionPlan> uavMissionPlans;
	private SynchronizationManager synchPointMgr;
	private String mission;

	/**
	 * Constructs the CoordinatedMission instance. A mission consists of one or more UAVs, each of which has a set of assigned tasks and synchronization points.
	 * 
	 * @param mission
	 */
	public FullMissionPlan(String mission) {
		this.mission = mission;
		uavMissionPlans = new HashMap<>();
		synchPointMgr = SynchronizationManager.getInstance();

	}

	/**
	 * Loads mission from JSON file. Currently hard coded. 
	 * 
	 * @param mission
	 * @throws MissionExecutionException
	 */
	private void loadMission(String mission) throws MissionExecutionException {
		JSONMissionPlanReader jsonReader = new JSONMissionPlanReader(this);
		try {
			jsonReader.parseMission(mission);
		} catch (IOException | JSONException e) {
			throw new MissionExecutionException(e.getMessage());
		}
	}

	/**
	 * Adds an additional UAV to the mission plan. Creates the <code>UAVMissionTasks</code> instance and passes it a reference to the <code>synchPointMgr</code>
	 * 
	 * @param uavID
	 *          the ID of the UAV
	 * @throws MissionExecutionException
	 */
	public void addUAV(String uavID) throws MissionExecutionException {
		UAVMissionPlan plan = new UAVMissionPlan(uavID, synchPointMgr);
		if (uavMissionPlans.containsKey(uavID)) {
			throw new MissionExecutionException(""Mission Plan for UAV '"" + uavID + ""' already defined"");
		}
		uavMissionPlans.put(uavID, plan);
	}

	public void removeUAV(String uavID) {
		uavMissionPlans.remove(uavID);
	}

	/**
	 * Assigns a task to a specific UAV
	 * 
	 * @param uavID
	 *          UAV Identifier
	 * @param task
	 *          Task to perform (e.g., Route, Waypoint, Synchronize, FlightPattern)
	 * @param taskID
	 *          Task specifics (e.g., specific waypoint, route name etc)
	 * @throws MissionExecutionException
	 */
	public void addTask(String uavID, String task, String taskID, Object... params) throws MissionExecutionException {
		for (UAVMissionPlan plan : uavMissionPlans.values()) {
			if (plan.getUavID().equals(uavID)) {
				plan.addTask(TaskFactory.getTask(task, uavID, taskID, params), synchPointMgr);
				return;
			}
		}
		throw new MissionExecutionException(""UAVMissionPlan '"" + uavID + ""' not available!"");
	}

	@Override
	public boolean isMissionActive() {
		for (UAVMissionPlan plan : uavMissionPlans.values()) {
			if (plan.hasTasks()) {
				return true;
			}
		}
		return false;
	}

	/**
	 * Build all synch points
	 */
	private void buildAllSynchPoints() {
		uavMissionPlans.forEach((uavId, plan) -> {
			plan.buildSynchPoints();
		});
	}

	/**
	 * Activates next task in each UAV mission, if there is no unfinished active task
	 * 
	 * @throws MissionExecutionException
	 */
	@Override
	public void checkAndActivateTask() throws MissionExecutionException {
		for (UAVMissionPlan plan : uavMissionPlans.values()) {
			if (!plan.hasActiveTask()) {
				plan.activateNextTask();
			}
		}
	}

	/**
	 * Expands flight pattern tasks (e.g., coordinatedTakeOff or coordinatedLanding)
	 * 
	 * @throws MissionExecutionException
	 *   
	 */
	private void expandAllTasks() throws MissionExecutionException {
		for (UAVMissionPlan plan : uavMissionPlans.values()) {
			plan.expandTaskList();
		}
	}

	public void build() throws MissionExecutionException {
		loadMission(mission);
		expandAllTasks();
		buildAllSynchPoints();
		synchPointMgr.activateAllSynchPoints();
		runPreChecks();

	}

	private void runPreChecks() throws MissionExecutionException {
		for (Entry<String, UAVMissionPlan> e : uavMissionPlans.entrySet()) {
			checkDistance(e.getKey(), e.getValue());
		}
	}

	private void checkDistance(String uavid, UAVMissionPlan plan) throws MissionExecutionException {
		LlaCoordinate coordinate = plan.getStartingRouteWaypoint();
		IUAVProxy uav = null;
		if (coordinate == null) {
			throw new MissionExecutionException(""Error when retrieving first waypoint for uav '"" + uavid + ""'"");
		}
		try {
			uav = DroneSetupService.getInstance().getActiveUAV(uavid);
		} catch (DronologyServiceException e) {
			throw new MissionExecutionException(e.getMessage());
		}
		double distanceToFirstWaypoint = uav.getCoordinates().distance(coordinate);
		if (distanceToFirstWaypoint > DronologyConstants.MISSION_MAX_STARTING_DISTANCE) {
			throw new MissionExecutionException(
					""Distance to first waypoint exceeds maximum safety distance: "" + distanceToFirstWaypoint + ""m"");
		}
		LOGGER.info(""Precheck passed -- Distance to first waypoint: "" + distanceToFirstWaypoint);

	}

	@Override
	public void cancelMission() {
		LOGGER.missionError(""Mission cancelled!"");
		for (UAVMissionPlan plan : uavMissionPlans.values()) {
			String uavid = plan.getUavID();
			MissionUtil.stopUAV(uavid);
		}
	}

}
"
MetricsStatistics.java,"package edu.nd.dronology.services.core.areamapping;

import java.util.Collections;
import java.util.List;

public class MetricsStatistics {
	private double equalityOfTasks;
	private double allocationCoverage;
	private double downstreamRatio;
	private boolean batteryFailed;
	private int collisions;
	private double allocationScore;
	private double totalDistance;
	private List<Double> droneDistances;
	private double allocationPriorityCoverage;
	
	public MetricsStatistics(double equalityOfTasks, double allocationCoverage, double downstreamRatio, boolean batteryFailed, int collisions, double totalDistance, 
			List<Double> droneDistances, double priorityCoverage) {
		this.equalityOfTasks = equalityOfTasks;
		this.allocationCoverage = allocationCoverage;
		this.downstreamRatio = downstreamRatio;
		this.batteryFailed = batteryFailed;
		this.collisions = collisions;
		this.totalDistance = totalDistance;
		this.droneDistances = droneDistances;
		this.allocationPriorityCoverage = priorityCoverage;
		calculateAllocationScore();
	}
	
	//score of all metrics combined here
	private void calculateAllocationScore() {
		if(batteryFailed) {
			allocationScore = 0;
		} else {
			allocationScore = 0.25*(equalityOfTasks + allocationCoverage + downstreamRatio - collisions / 5);
		}
	}
	
	public double getEqualityOfTasks() {
		return equalityOfTasks;
	}
	
	public double getAllocationCoverage() {
		return allocationCoverage;
	}
	
	public double getDownstreamToUpstreamRatio() {
		return downstreamRatio;
	}
	
	public boolean getBatteryFailed() {
		return batteryFailed;
	}
	
	public int getCollisions() {
		return collisions;
	}
	
	public double getAllocationScore() {
		return allocationScore;
	}
	
	public double getTotalDistance() {
		return totalDistance;
	}
	
	public List<Double> getDroneDistances(){
		return Collections.unmodifiableList(droneDistances);
	}
	
	public double getAllocationPriorityCoverage() {
		return allocationPriorityCoverage;
	}
}
"
UAVListenerManager.java,"package edu.nd.dronology.core.vehicle;

public class UAVListenerManager {

	private static volatile UAVListenerManager INSTANCE = null;

	public static UAVListenerManager getInstance() {

		if (INSTANCE == null) {
			synchronized (UAVListenerManager.class) {
				if (INSTANCE == null) {
					INSTANCE = new UAVListenerManager();
				}
			}
		}
		return INSTANCE;
	}

	public void notifyUAVFlightModeChanged(String id, String newState){
		//notify listeners...
	
	}

}
"
JSONMissionPlanReader.java,"package edu.nd.dronology.services.extensions.missionplanning.v1;

import java.io.FileNotFoundException;
import java.io.IOException;
import java.util.List;
import java.util.Map;

import org.json.JSONException;

import com.google.gson.Gson;

import edu.nd.dronology.services.extensions.missionplanning.MissionExecutionException;

/**
 * Simple JSON Reader that converts a json String into a {@link FullMissionPlan} object.
 * 
 * @author Jane Cleland-Huang
 *
 */
@SuppressWarnings(""rawtypes"")
public class JSONMissionPlanReader {

	FullMissionPlan coordinatedMission;
	// String fileName;

	public JSONMissionPlanReader(FullMissionPlan coordinatedMission) {
		this.coordinatedMission = coordinatedMission;
	}

	public void parseMission(String content)
			throws FileNotFoundException, IOException, JSONException, MissionExecutionException {
		// parsing input file
		// Object obj = new JSONParser().parse(content);

		Map valueMap = new Gson().fromJson(content, Map.class);

		List plans = (List) valueMap.get(""plans"");

		for (Object object : plans) {
			Map jo2 = (Map) object;
			String uavid = (String) jo2.get(""id"");
			coordinatedMission.addUAV(uavid);

			List tasks = (List) jo2.get(""tasks"");
			for (Object task : tasks) {
				parseTasks(task, uavid);
			}
		}

	}

	private void parseTasks(Object item, String uavid) throws MissionExecutionException {
		Map jsnObject = (Map) item;
		String task = (String) jsnObject.get(""task"");
		String taskID;

		taskID = (String) jsnObject.get(""name"");
		String duration = (String) jsnObject.get(""duration"");

		if (duration != null) {
			coordinatedMission.addTask(uavid, task, taskID, duration);
		} else {
			coordinatedMission.addTask(uavid, task, taskID);
		}
	}

}
"
RemoteService.java,"package edu.nd.dronology.services.remote;

import java.util.Collection;

import edu.nd.dronology.services.core.base.AbstractServerService;
import edu.nd.dronology.services.core.remote.IRemoteManager;
import edu.nd.dronology.services.core.remote.RemoteInfo;
import edu.nd.dronology.services.core.util.DronologyServiceException;
import edu.nd.dronology.services.instances.remote.IRemoteConnectionServiceInstance;
import edu.nd.dronology.services.instances.remote.RemoteConnectionServiceInstance;

public class RemoteService extends AbstractServerService<IRemoteConnectionServiceInstance> {

	private static volatile RemoteService INSTANCE;

	@Override
	protected IRemoteConnectionServiceInstance initServiceInstance() {
		return new RemoteConnectionServiceInstance();
	}

	/**
	 * @return The singleton RemoteService instance
	 */
	public static RemoteService getInstance() {
		if (INSTANCE == null) {
			synchronized (RemoteService.class) {
				if (INSTANCE == null) {
					INSTANCE = new RemoteService();
				}
			}
		}
		return INSTANCE;
	}

	public void performCleanup() {
		// TODO Auto-generated method stub

	}

	public Collection<RemoteInfo> getRegisteredRemoteClients() {
		return serviceInstance.getRegisteredRemoteClients();
	}

	public void register(RemoteInfo rInfo) {
		serviceInstance.register(rInfo);
	}

	public void unregister(RemoteInfo rInfo) {
		serviceInstance.unregister(rInfo);
	}

	// public void logExternal(LogEventAdapter event) {
	// serviceInstance.logExternal(event);
	// }
	public void addRemoteManager(IRemoteManager manager) throws DronologyServiceException {
		serviceInstance.addRemoteManager(manager);

	}

}
"
ServiceIds.java,"package edu.nd.dronology.services.core.util;

/**
 * 
 * 
 * @author Michael Vierhauser
 * 
 */
public class ServiceIds {


	public static final String SERVICE_FLIGHROUTE = ""ROUTEPLANNING"";
	public static final String SERVICE_SIMULATOR = ""SIMULATOR"";
	public static final String SERVICE_REMOTE = ""REMOTE"";

	public static final String SERVICE_FLIGHTMANAGER = ""FLIGHTMANAGER"";
	public static final String SERVICE_DRONESETUP = ""DRONESETUP"";
	public static final String SERVICE_REGISTRATION = ""DRONEREGISTRATION"";
	public static final String SERVICE_EQUIP_TYPE_REGISTRATION = ""EQUIPDRONEREGISTRATION"";
	public static final String SERVICE_TYPEREGISTRATION = ""DRONETYPEREGISTRATION"";
	public static final String SERVICE_MISSIONPLANNING = ""MISSIONPLANNING"";
	public static final String SERVICE_AREAMAPPING = ""AREAMAPPING"";
	
}
"
VirtualDrone.java,"package edu.nd.dronology.core.vehicle.internal;

import com.google.common.util.concurrent.RateLimiter;

import edu.nd.dronology.core.collisionavoidance.DroneSnapshotInternal;
import edu.nd.dronology.core.coordinate.LlaCoordinate;
import edu.nd.dronology.core.exceptions.DroneException;
import edu.nd.dronology.core.exceptions.FlightZoneException;
import edu.nd.dronology.core.simulator.IFlightSimulator;
import edu.nd.dronology.core.simulator.SimulatorFactory;
import edu.nd.dronology.core.vehicle.AbstractDrone;
import edu.nd.dronology.core.vehicle.IDrone;
import edu.nd.dronology.core.vehicle.commands.AbstractDroneCommand;
import edu.nd.dronology.util.NullUtil;
import net.mv.logging.ILogger;
import net.mv.logging.LoggerProvider;
import org.apache.commons.math3.geometry.euclidean.threed.Vector3D;

/**
 * Representation of a virtual UAV which is controlled by the internal simulator.
 * 
 * @author Jane Cleland-Huang
 * 
 */ 
public class VirtualDrone extends AbstractDrone implements IDrone {

	private static final ILogger LOGGER = LoggerProvider.getLogger(VirtualDrone.class);
	IFlightSimulator simulator;

	/**
	 * Constructs drone without specifying its current position. This will be used by the physical drone (later) where positioning status will be acquired from the drone.
	 * 
	 * @param drnName
	 */
	public VirtualDrone(String drnName) {
		super(drnName);
		simulator = SimulatorFactory.getSimulator(this);
	} 

	@Override 
	public void takeOff(double targetAltitude) throws FlightZoneException {
		simulator.startBatteryDrain();
		droneStatus.updateBatteryLevel(simulator.getVoltage()); // Need more
		super.setCoordinates(droneStatus.getLatitude(), droneStatus.getLongitude(), targetAltitude);
		try {
			Thread.sleep(new Double(targetAltitude).intValue() * 100); // Simulates
		} catch (InterruptedException e) {
			LOGGER.error(e);
		}
	}

	@Override
	public void flyTo(LlaCoordinate targetCoordinates, Double speed) {
		NullUtil.checkNull(targetCoordinates);
		// LOGGER.info(""Flying to: ""+ targetCoordinates.toString());
		simulator.setFlightPath(currentPosition, targetCoordinates);
	}

	@Override
	public void land() throws FlightZoneException {
		try { 
			Thread.sleep(1500);
			simulator.checkPoint();
			simulator.stopBatteryDrain();

		} catch (Throwable e) {
			LOGGER.error(e);
		}
	}

	@Override
	public double getBatteryStatus() {
		droneStatus.updateBatteryLevel(simulator.getVoltage());
		return simulator.getVoltage();
	}

	RateLimiter limiter = RateLimiter.create(5);

	@Override
	public boolean move(double i) { // ALSO NEEDS THINKING ABOUT FOR non-VIRTUAL
		getBatteryStatus();
		// limiter.acquire();
		boolean moveStatus = simulator.move(2);
		droneStatus.updateCoordinates(getLatitude(), getLongitude(), getAltitude());

		// DroneCollectionStatus.getInstance().testStatus();
		return moveStatus;
	}

	@Override
	public void setVoltageCheckPoint() {
		simulator.checkPoint();

	}

	@Override
	public boolean isDestinationReached(int distanceMovedPerTimeStep) {
		return simulator.isDestinationReached(distanceMovedPerTimeStep);
	}

	@Override
	public void setGroundSpeed(double speed) {
		// TODO Auto-generated method stub

	}

	@Override
	public void setVelocity(double x, double y, double z) {
		// TODO Auto-generated method stub

	}

	@Override
	public void sendCommand(AbstractDroneCommand command) throws DroneException {
		// TODO Auto-generated method stub

	}

	@Override
	public void resendCommand() {
		// TODO Auto-generated method stub
	}

	@Override
	public DroneSnapshotInternal getLatestDroneSnapshot() {
		//todo get velocity and attitude values
		Vector3D velocity = new Vector3D(0, 0, 0);
		Vector3D attitude = new Vector3D(0, 0, 0);
		return new DroneSnapshotInternal(this.droneName, droneStatus.getCoordinates(), velocity, attitude);
	}
}
"
