,t1,t2,rel
0,runnable,watch service runner,ancestor
1,runnable,keep allive runnable,ancestor
2,runnable,groundstation connector,ancestor
3,runnable,write dispatcher,ancestor
4,runnable,read dispatcher,ancestor
5,runnable,incomming groundstation connection server,ancestor
6,runnable,managed drone,ancestor
7,runnable,monitoring data handler,ancestor
8,runnable,monitoring frequency adaptor,ancestor
9,runnable,mission controller,ancestor
10,runnable,monitoring data handler3,ancestor
11,serializable,mapping info,ancestor
12,serializable,abstract registerable unit,ancestor
13,serializable,abstract uav message,ancestor
14,serializable,uav handshake message,ancestor
15,serializable,uav state message,ancestor
16,serializable,battery status,ancestor
17,serializable,uav monitoring message,ancestor
18,serializable,uav acknowledge message,ancestor
19,serializable,connection request message,ancestor
20,serializable,uav mode change message,ancestor
21,serializable,uav proxy,ancestor
22,serializable,precise timestamp,ancestor
23,serializable,waypoint,ancestor
24,serializable,uav route pair,ancestor
25,serializable,route set,ancestor
26,serializable,state wrapper,ancestor
27,serializable,artifact identifier,ancestor
28,serializable,lla coordinate,ancestor
29,serializable,constraint validation info,ancestor
30,serializable,uav validation information,ancestor
31,serializable,validation result,ancestor
32,serializable,collision info,ancestor
33,i remote info object,remote info object,ancestor
34,i persistence manager,simulator scenario x stream persistor,ancestor
35,i persistence manager,flight route x stream persistor,ancestor
36,i persistence manager,drone specificationt x stream persistor,ancestor
37,i persistence manager,i sac xstream persistor,ancestor
38,i remote transfer object,service info,ancestor
39,comparable,service info,ancestor
40,i drone specification,drone specification,ancestor
41,i flight route,flight route,ancestor
42,i simulator scenario,simulator scenario,ancestor
43,i file transmit service instance,abstract file transmit service instance,ancestor
44,i file change notifyable,abstract file transmit service instance,ancestor
45,i file change notifyable,dron specification service instance,ancestor
46,i file change notifyable,drone simulator service instance,ancestor
47,i file change notifyable,flight routeplanning service instance,ancestor
48,i service instance,abstract service instance,ancestor
49,i base service provider,base service provider,ancestor
50,i remote monitoring message handler,remote message handler,ancestor
51,i remote monitoring message handler,remote validation message handler,ancestor
52,i remote monitoring message handler,simple checker message handler,ancestor
53,i drone command handler,groundstation connector,ancestor
54,i monitorable message,abstract uav message,ancestor
55,i monitorable message,uav monitorable message,ancestor
56,json deserializer,mode change message type adapter,ancestor
57,json deserializer,state message type adapter,ancestor
58,callable,abstract status dispatch thread,ancestor
59,callable,status dispatch thread,ancestor
60,callable,monitoring dispatch thread,ancestor
61,callable,send to subscriber callable,ancestor
62,i drone command,marker object,ancestor
63,i drone command,go to command,ancestor
64,i drone command,set monitoring frequency command,ancestor
65,i drone command,set gimbal rotation command,ancestor
66,i drone command,ping pong command,ancestor
67,i drone command,land command,ancestor
68,i drone command,takeoff command,ancestor
69,i drone command,set state frequency command,ancestor
70,i drone command,emergency stop command,ancestor
71,i drone command,connection response command,ancestor
72,i drone command,set velocity command,ancestor
73,i drone command,set gimbal target command,ancestor
74,i drone command,abstract drone command,ancestor
75,i drone command,set ground speed command,ancestor
76,i drone connector service instance,drone connector service instance,ancestor
77,thread factory,named thread factory,ancestor
78,i drone attribute,drone attribute,ancestor
79,i drone,abstract drone,ancestor
80,i drone,virtual drone,ancestor
81,i drone,physical drone,ancestor
82,iuav proxy,uav proxy,ancestor
83,iuav property update notifier,physical drone,ancestor
84,i stop strategy,landing strategy,ancestor
85,i flight plan,simple takeoff flight plan,ancestor
86,i flight plan,flight plan,ancestor
87,i flight director,solo director,ancestor
88,flight plan,flight plans,ancestor
89,i plan status change listener,flight zone manager2,ancestor
90,i mission plan,mission plan,ancestor
91,i flight simulator,nvec simulator,ancestor
92,i flight simulator,simple simulator,ancestor
93,collision avoider,stop everyone,ancestor
94,i infrastructure safety case,infrastructure safety case,ancestor
95,i external safety case,uav saefty case,ancestor
96,isac assumption,assumption,ancestor
97,i monitoring validation listener,internal monitoring eval listener,ancestor
98,i drone safety remote service,drone safety service remote facade,ancestor
99,i drone safety service instance,drone safety service instance,ancestor
100,iuav safety validator,safety case validation manager,ancestor
101,i evaluation engine,nashorn evaluation engine,ancestor
102,i drone specification service instance,dron specification service instance,ancestor
103,i mission planning remote service,mission planning service remote facade,ancestor
104,i flight routeplanning remote service,flight routeplanning service remote facade,ancestor
105,i drone simulator remote service,drone simulator service remote facade,ancestor
106,i flight manager remote service,flight manager service remote facade,ancestor
107,i drone setup remote service,drone setup service remote facade,ancestor
108,i drone specification remote service,drone specification service remote facade,ancestor
109,i flight manager service instance,flight manager service instance,ancestor
110,i drone simulator service instance,drone simulator service instance,ancestor
111,i flight routeplanning service instance,flight routeplanning service instance,ancestor
112,i mission planning service instance,mission planning service instance,ancestor
113,i remote connection service instance,remote connection service instance,ancestor
114,i mission task,abstract mission task,ancestor
115,i flight pattern,coordinated takeoff pattern,ancestor
116,i flight pattern,coordinated landing pattern,ancestor
117,i flight pattern,abstract flight pattern,ancestor
118,i drone setup service instance,drone setup service instance,ancestor
119,i supervisor service instance,supervisor service instance,ancestor
120,i remote manager,remote manager,ancestor
121,i remote manager,remote rmi remote object,ancestor
122,i remoteable service,abstract remote facade,ancestor
123,i service listener,remote server process listener adapter,ancestor
124,i logger appender,logger appender adapter,ancestor
125,i logger,log4jv2root logger,ancestor
126,i logger,log4j log forwarder,ancestor
127,i logger,log4jv2logger,ancestor
128,i monitoring data handler,monitoring data handler3,ancestor
129,i drone monitoring service instance,drone monitoring service instance,ancestor
130,i drone monitoring remote service,drone monitoring service remote facade,ancestor
131,comparator,flight route into name comparator,ancestor
132,leaflet click listener,map add marker listener,ancestor
133,leaflet click listener,polyline click listener,ancestor
134,drag end listener,marker drag end listener,ancestor
135,leaflet mouse over listener,marker mouse over listener,ancestor
136,leaflet mouse over listener,drone mouse listener,ancestor
137,leaflet mouse over listener,waypoint mouse listener,ancestor
138,leaflet mouse out listener,marker mouse out listener,ancestor
139,popup view,fr way point popup view content,ancestor
140,menu bar,navigation bar command,ancestor
141,receiver,mission uploader,ancestor
142,succeeded listener,mission uploader,ancestor
143,drop handler,reorder layout drop handler,ancestor
144,context click listener,my listener,ancestor
145,federal aviation administration,faa,synonym
146,federal aviation administration,dot,synonym
147,federal aviation administration,far,synonym
148,federal aviation administration,annual reports,sibling
149,federal aviation administration,aviation industry,sibling
150,faa,federal aviation administration,synonym
151,faa,federal aviation agency,synonym
152,faa,federal aviation authority,synonym
153,faa,aviation administration,synonym
154,faa,federal aviation administrations,synonym
155,faa,nasa,sibling
156,faa,decision makers,ancestor
157,faa,state department,sibling
158,faa,certificated federal aviation administration,synonym
159,faa,industry partners,ancestor
160,faa,government entities,ancestor
161,faa,department of transportation federal aviation administration,synonym
162,faa,federal aviation adminstration,synonym
163,faa,laanc,ancestor
164,faa,dot,synonym
165,faa,uas operators,sibling
166,faa,federal aeronautics administration,synonym
167,faa,ama,sibling
168,faa,partner organizations,ancestor
169,faa,regulatory agencies,ancestor
170,faa,federal aviation association,synonym
171,faa,onera,sibling
172,faa,aopa,sibling
173,faa,model aircraft,sibling
174,faa,federal agencies,ancestor
175,faa,federal funding,ancestor
176,astrophysics data system,ads,synonym
177,ads,astrophysics data system,synonym
178,ads,ace drone services llc,synonym
179,ads,vibration control nasa astrophysics data system,synonym
180,ads,automated exploration nasa astrophysics data system,synonym
181,ads,doc,sibling
182,ads,mdsu,sibling
183,ads,autonomous drones systems,synonym
184,ads,ocean ridges nasa astrophysics data system,synonym
185,ads,rss measurements nasa astrophysics data system,synonym
186,ads,autonomous drone systems,synonym
187,ads,scale uavs nasa astrophysics data system,synonym
188,ads,vtol uavs nasa astrophysics data system,synonym
